,,OUTPUT PERIOD 32,,,,,,,,,,,,,,,,,
32,JAPAN,MEXICO,CHINA,U.K.,GERMAN,U.S.,TOTAL,,,,,Period,Country,Demand - Units P1,,,,,
Common Stock,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,,,,,,,,,
Retained Earnings,32621007.93,31310111.38,29421183.17,38973368.85,15371749.64,14541298,15326106,16655524,16955691,15866391,,,,,,,,,
Total liab and Equity,67472955.37,71770639.37,71400328.81,79445277.73,55711552.51,0,0,0,0,0,,,,,,,,,
Dividends Paid,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Total dollar Sales,28593651.25,32028492.45,31762053.6,35425314.56,30350193.36,0,0,0,0,0,,,,,,,,,
Net income,700513.9816,2483973.102,1637223.625,2894466.187,1132778.801,-80002,-74975,-71204,-71204,-74975,,,,,,,,,
Quality Index Prod 1,1.013131995,1.037019419,1.056587172,1.04237349,0.850887924,0,0,0,0,0,,,,,,,,,
Quality Index Prod 2,0.953605834,1.025369938,0.951060729,1.028312435,1.041651063,0,0,0,0,0,,,,,,,,,
Contract Winner,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Destination P1 factory,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Destination P2 factory,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
New Plant capacity P1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
New Plant capacity P2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
COMPANY DATA,1,,,,,,,,,,,,,,,,,,
Contract Vol Demand,60000,,,,,,,,,,,,,,,,,,
Total cont Vol Sold,60000,,,,,,,,,,,,,,,,,,
Contract Price,0,,,,,,,,,,,,,,,,,,
Contract units sold,0,,,,,,,,,,,,,,,,,,
Contract sales dollars,0,,,,,,,,,,,,,,,,,,
Contract unit cost,0,,,,,,,,,,,,,,,,,,
Demand  Units Japan P1,63246,,,,,,,,,,,,,,,,,,
Demand  Units Mexico P1,32161,,,,,,,,,,,,,,,,,,
Demand  Units China P1,23174,,,,,,,,,,,,,,,,,,
Demand  Units UK P1,40345,,,,,,,,,,,,,,,,,,
Demand  Units German P1,46210,,,,,,,,,,,,,,,,,,
Demand  Units US P1,116693,,,,,,,,,,,,,,,,,,
Sales Units Japan P1,63246,,,,,,,,,,,,,,,,,,
Sales Units Mexico P1,32161,,,,,,,,,,,,,,,,,,
Sales Units China P1,23174,,,,,,,,,,,,,,,,,,
Sales Units UK P1,40345,,,,,,,,,,,,,,,,,,
Sales Units German P1,46210,,,,,,,,,,,,,,,,,,
Sales Units US P1,107185,,,,,,,,,,,,,,,,,,
Addl Sales Japan P1,0,,,,,,,,,,,,,,,,,,
Addl Sales Mexico P1,0,,,,,,,,,,,,,,,,,,
Addl Sales China P1,0,,,,,,,,,,,,,,,,,,
Addl Sales UK P1,0,,,,,,,,,,,,,,,,,,
Addl Sales German P1,0,,,,,,,,,,,,,,,,,,
Addl Sales US P1,0,,,,,,,,,,,,,,,,,,
Sales Rev Japan P1,218750792.4,,,,,,,,,,,,,,,,,,
Sales Rev Mexico P1,10744404.96,,,,,,,,,,,,,,,,,,
Sales Rev China P1,6375774.4,,,,,,,,,,,,,,,,,,
Sales Rev UK P1,1046568.248,,,,,,,,,,,,,,,,,,
Sales Rev GER P1,1852550.431,,,,,,,,,,,,,,,,,,
Sales Rev US P1,3875749.848,,,,,,,,,,,,,,,,,,
Del cost / unit Japan P1,1724.442786,,,,,,,,,,,,,,,,,,
Del cost / unit Mexico P1,264.1084475,,,,,,,,,,,,,,,,,,
Del cost / unit China P1,131.292803,,,,,,,,,,,,,,,,,,
Del cost / unit UK P1,13.32932089,,,,,,,,,,,,,,,,,,
Del cost / unit German P1,15.75283378,,,,,,,,,,,,,,,,,,
Del cost / unit US P1,20.19594074,,,,,,,,,,,,,,,,,,
Mkt Exp Japan P1,17999960,,,,,,,,,,,,,,,,,,
Mkt Exp Mexico P1,960005.7,,,,,,,,,,,,,,,,,,
Mkt Exp China P1,960002.8,,,,,,,,,,,,,,,,,,
Mkt Exp UK P1,119999.88,,,,,,,,,,,,,,,,,,
Mkt Exp Germany P1,239999.76,,,,,,,,,,,,,,,,,,
Mkt Exp US P1,640000,,,,,,,,,,,,,,,,,,
Import Tariffs Japan P1,19687571.32,,,,,,,,,,,,,,,,,,
Import Tariffs Mexico P1,741363.9424,,,,,,,,,,,,,,,,,,
Import Tariffs China P1,0,,,,,,,,,,,,,,,,,,
Import Tariffs UK P1,120355.3485,,,,,,,,,,,,,,,,,,
Import Tariffs Germany P1,213043.2995,,,,,,,,,,,,,,,,,,
Import Tariffs US P1,222855.6162,,,,,,,,,,,,,,,,,,
Demand  Units Japan P2,58062,,,,,,,,,,,,,,,,,,
Demand  Units Mexico P2,28630,,,,,,,,,,,,,,,,,,
Demand  Units China P2,21358,,,,,,,,,,,,,,,,,,
Demand  Units UK P2,38787,,,,,,,,,,,,,,,,,,
Demand  Units German P2,54882,,,,,,,,,,,,,,,,,,
Demand  Units US P2,127033,,,,,,,,,,,,,,,,,,
Sales Units Japan P2,58062,,,,,,,,,,,,,,,,,,
Sales Units Mexico P2,28630,,,,,,,,,,,,,,,,,,
Sales Units China P2,21358,,,,,,,,,,,,,,,,,,
Sales Units UK P2,38787,,,,,,,,,,,,,,,,,,
Sales Units German P2,54882,,,,,,,,,,,,,,,,,,
Sales Units US P2,127033,,,,,,,,,,,,,,,,,,
Addl DMD Japan P2,0,,,,,,,,,,,,,,,,,,
Addl DMD Mexico P2,0,,,,,,,,,,,,,,,,,,
Addl DMD China P2,0,,,,,,,,,,,,,,,,,,
Addl DMD UK P2,0,,,,,,,,,,,,,,,,,,
Addl DMD German P2,0,,,,,,,,,,,,,,,,,,
Addl DMD US P2,0,,,,,,,,,,,,,,,,,,
Sales Rev Japan P2,305795217.4,,,,,,,,,,,,,,,,,,
Sales Rev Mexico P2,11252661.3,,,,,,,,,,,,,,,,,,
Sales Rev China P2,8814217.851,,,,,,,,,,,,,,,,,,
Sales Rev UK P2,1311047.843,,,,,,,,,,,,,,,,,,
Sales Rev GER P2,2588481.554,,,,,,,,,,,,,,,,,,
